"MEDC_ID","MEDC_CD","MEDC_NAME","MEDC_COND","MEDC_CATG","MEDC_BRND","EXEC_ID"
15151,"233","Medicament233","Cond10","CategoryMed27","MarqueMed6",12
9584,"623","Medicament623","Cond4","CategoryMed37","MarqueMed12",12
12602,"1539","Medicament1539","Cond1","CategoryMed9","MarqueMed3",12
7035,"1929","Medicament1929","Cond3","CategoryMed24","MarqueMed23",12
15620,"656","Medicament656","Cond11","CategoryMed18","MarqueMed8",12
10053,"1044","Medicament1044","Cond12","CategoryMed5","MarqueMed22",12
13071,"1961","Medicament1961","Cond4","CategoryMed42","MarqueMed12",12
7504,"551","Medicament551","Cond7","CategoryMed42","MarqueMed7",12
10522,"1467","Medicament1467","Cond6","CategoryMed7","MarqueMed13",12
4955,"1857","Medicament1857","Cond13","CategoryMed23","MarqueMed11",12
7973,"974","Medicament974","Cond13","CategoryMed16","MarqueMed21",12
2406,"1362","Medicament1362","Cond11","CategoryMed41","MarqueMed2",12
5424,"48","Medicament48","Cond13","CategoryMed28","MarqueMed2",12
8442,"1395","Medicament1395","Cond13","CategoryMed41","MarqueMed23",12
2875,"1785","Medicament1785","Cond4","CategoryMed50","MarqueMed1",12
5893,"901","Medicament901","Cond2","CategoryMed43","MarqueMed9",12
326,"1290","Medicament1290","Cond9","CategoryMed26","MarqueMed17",12
3344,"407","Medicament407","Cond1","CategoryMed18","MarqueMed9",12
17496,"544","Medicament544","Cond10","CategoryMed8","MarqueMed11",12
795,"1712","Medicament1712","Cond5","CategoryMed33","MarqueMed14",12
3813,"83","Medicament83","Cond7","CategoryMed39","MarqueMed21",12
17965,"967","Medicament967","Cond8","CategoryMed36","MarqueMed23",12
1264,"335","Medicament335","Cond6","CategoryMed26","MarqueMed17",12
15416,"472","Medicament472","Cond1","CategoryMed33","MarqueMed8",12
18434,"1388","Medicament1388","Cond10","CategoryMed29","MarqueMed2",12
12867,"1778","Medicament1778","Cond13","CategoryMed40","MarqueMed1",12
15885,"895","Medicament895","Cond3","CategoryMed3","MarqueMed2",12
10318,"1283","Medicament1283","Cond13","CategoryMed34","MarqueMed1",12
18903,"181","Medicament181","Cond9","CategoryMed17","MarqueMed6",12
13336,"40","Medicament40","Cond2","CategoryMed5","MarqueMed3",12
16354,"1315","Medicament1315","Cond10","CategoryMed45","MarqueMed5",12
10787,"1705","Medicament1705","Cond12","CategoryMed19","MarqueMed9",12
13805,"822","Medicament822","Cond6","CategoryMed40","MarqueMed4",12
8238,"1210","Medicament1210","Cond5","CategoryMed27","MarqueMed12",12
11256,"328","Medicament328","Cond12","CategoryMed47","MarqueMed7",12
5689,"718","Medicament718","Cond10","CategoryMed6","MarqueMed3",12
14274,"1243","Medicament1243","Cond10","CategoryMed1","MarqueMed15",12
8707,"1633","Medicament1633","Cond9","CategoryMed14","MarqueMed13",12
11725,"750","Medicament750","Cond8","CategoryMed30","MarqueMed9",12
6158,"1139","Medicament1139","Cond1","CategoryMed8","MarqueMed8",12
9176,"256","Medicament256","Cond6","CategoryMed15","MarqueMed19",12
3609,"646","Medicament646","Cond13","CategoryMed38","MarqueMed15",12
6627,"1561","Medicament1561","Cond8","CategoryMed30","MarqueMed12",12
1060,"1951","Medicament1951","Cond7","CategoryMed29","MarqueMed20",12
9645,"679","Medicament679","Cond4","CategoryMed17","MarqueMed21",12
4078,"1067","Medicament1067","Cond2","CategoryMed2","MarqueMed10",12
7096,"1984","Medicament1984","Cond5","CategoryMed28","MarqueMed6",12
1529,"574","Medicament574","Cond3","CategoryMed7","MarqueMed8",12
4547,"149","Medicament149","Cond3","CategoryMed14","MarqueMed23",12
18699,"1626","Medicament1626","Cond9","CategoryMed38","MarqueMed14",12
1998,"997","Medicament997","Cond3","CategoryMed48","MarqueMed20",12
16150,"1131","Medicament1131","Cond2","CategoryMed2","MarqueMed10",12
19168,"249","Medicament249","Cond5","CategoryMed32","MarqueMed1",12
2467,"1417","Medicament1417","Cond8","CategoryMed20","MarqueMed10",12
16619,"1554","Medicament1554","Cond7","CategoryMed39","MarqueMed16",12
19637,"671","Medicament671","Cond9","CategoryMed6","MarqueMed8",12
14070,"106","Medicament106","Cond5","CategoryMed10","MarqueMed9",12
17088,"1977","Medicament1977","Cond11","CategoryMed29","MarqueMed17",12
11521,"567","Medicament567","Cond2","CategoryMed41","MarqueMed2",12
14539,"1482","Medicament1482","Cond5","CategoryMed43","MarqueMed16",12
17557,"6","Medicament6","Cond11","CategoryMed39","MarqueMed13",12
11990,"99","Medicament99","Cond4","CategoryMed22","MarqueMed17",12
15008,"1904","Medicament1904","Cond6","CategoryMed2","MarqueMed18",12
9441,"495","Medicament495","Cond3","CategoryMed32","MarqueMed21",12
12459,"141","Medicament141","Cond7","CategoryMed38","MarqueMed15",12
6892,"180","Medicament180","Cond5","CategoryMed12","MarqueMed12",12
9910,"917","Medicament917","Cond9","CategoryMed15","MarqueMed12",12
4343,"1305","Medicament1305","Cond12","CategoryMed24","MarqueMed6",12
12928,"1832","Medicament1832","Cond12","CategoryMed25","MarqueMed1",12
7361,"422","Medicament422","Cond13","CategoryMed20","MarqueMed23",12
10379,"1338","Medicament1338","Cond4","CategoryMed26","MarqueMed12",12
4812,"1728","Medicament1728","Cond11","CategoryMed4","MarqueMed15",12
7830,"845","Medicament845","Cond12","CategoryMed30","MarqueMed10",12
2263,"1233","Medicament1233","Cond8","CategoryMed49","MarqueMed18",12
5281,"350","Medicament350","Cond10","CategoryMed11","MarqueMed5",12
8299,"1266","Medicament1266","Cond2","CategoryMed19","MarqueMed18",12
2732,"1656","Medicament1656","Cond3","CategoryMed6","MarqueMed18",12
5750,"773","Medicament773","Cond5","CategoryMed37","MarqueMed5",12
183,"1161","Medicament1161","Cond2","CategoryMed19","MarqueMed23",12
19902,"91","Medicament91","Cond2","CategoryMed34","MarqueMed17",12
3201,"279","Medicament279","Cond11","CategoryMed15","MarqueMed20",12
17353,"415","Medicament415","Cond2","CategoryMed22","MarqueMed11",12
652,"1584","Medicament1584","Cond11","CategoryMed3","MarqueMed22",12
17822,"838","Medicament838","Cond5","CategoryMed22","MarqueMed20",12
1121,"206","Medicament206","Cond4","CategoryMed41","MarqueMed14",12
15273,"343","Medicament343","Cond2","CategoryMed26","MarqueMed6",12
18291,"1259","Medicament1259","Cond4","CategoryMed9","MarqueMed23",12
12724,"1649","Medicament1649","Cond4","CategoryMed50","MarqueMed5",12
15742,"766","Medicament766","Cond4","CategoryMed16","MarqueMed9",12
10175,"1154","Medicament1154","Cond3","CategoryMed42","MarqueMed4",12
18760,"1681","Medicament1681","Cond4","CategoryMed35","MarqueMed19",12
13193,"271","Medicament271","Cond12","CategoryMed28","MarqueMed3",12
16211,"1187","Medicament1187","Cond12","CategoryMed24","MarqueMed19",12
10644,"1577","Medicament1577","Cond5","CategoryMed17","MarqueMed7",12
13662,"694","Medicament694","Cond13","CategoryMed10","MarqueMed19",12
8095,"1082","Medicament1082","Cond6","CategoryMed41","MarqueMed14",12
11113,"2","Medicament2","Cond2","CategoryMed31","MarqueMed18",12
5546,"59","Medicament59","Cond7","CategoryMed49","MarqueMed15",12
14131,"1114","Medicament1114","Cond3","CategoryMed13","MarqueMed2",12
8564,"1504","Medicament1504","Cond12","CategoryMed13","MarqueMed6",12
2997,"1895","Medicament1895","Cond3","CategoryMed47","MarqueMed7",12
11582,"621","Medicament621","Cond1","CategoryMed13","MarqueMed18",12
6015,"101","Medicament101","Cond9","CategoryMed37","MarqueMed2",12
9033,"1927","Medicament1927","Cond6","CategoryMed12","MarqueMed11",12
3466,"517","Medicament517","Cond8","CategoryMed29","MarqueMed17",12
6484,"1432","Medicament1432","Cond12","CategoryMed6","MarqueMed15",12
917,"1822","Medicament1822","Cond10","CategoryMed29","MarqueMed16",12
3935,"94","Medicament94","Cond3","CategoryMed32","MarqueMed13",12
6953,"1855","Medicament1855","Cond11","CategoryMed36","MarqueMed3",12
1386,"445","Medicament445","Cond3","CategoryMed14","MarqueMed13",12
4404,"1360","Medicament1360","Cond10","CategoryMed18","MarqueMed1",12
18556,"1498","Medicament1498","Cond4","CategoryMed9","MarqueMed5",12
1855,"868","Medicament868","Cond9","CategoryMed29","MarqueMed4",12
16007,"1002","Medicament1002","Cond11","CategoryMed47","MarqueMed12",12
19025,"192","Medicament192","Cond6","CategoryMed3","MarqueMed15",12
16476,"1425","Medicament1425","Cond12","CategoryMed9","MarqueMed9",12
19494,"542","Medicament542","Cond12","CategoryMed16","MarqueMed5",12
13927,"932","Medicament932","Cond6","CategoryMed22","MarqueMed11",12
16945,"1848","Medicament1848","Cond8","CategoryMed28","MarqueMed11",12
11378,"438","Medicament438","Cond2","CategoryMed16","MarqueMed13",12
19963,"965","Medicament965","Cond9","CategoryMed42","MarqueMed14",12
14396,"1353","Medicament1353","Cond10","CategoryMed9","MarqueMed2",12
8829,"1743","Medicament1743","Cond13","CategoryMed47","MarqueMed3",12
17414,"470","Medicament470","Cond5","CategoryMed18","MarqueMed21",12
11847,"860","Medicament860","Cond10","CategoryMed24","MarqueMed13",12
14865,"1776","Medicament1776","Cond4","CategoryMed15","MarqueMed2",12
9298,"366","Medicament366","Cond5","CategoryMed20","MarqueMed20",12
12316,"1281","Medicament1281","Cond6","CategoryMed20","MarqueMed8",12
6749,"1671","Medicament1671","Cond10","CategoryMed45","MarqueMed16",12
9767,"789","Medicament789","Cond1","CategoryMed2","MarqueMed4",12
4200,"1177","Medicament1177","Cond2","CategoryMed31","MarqueMed21",12
12785,"1703","Medicament1703","Cond11","CategoryMed35","MarqueMed17",12
7218,"294","Medicament294","Cond6","CategoryMed10","MarqueMed7",12
1651,"684","Medicament684","Cond5","CategoryMed27","MarqueMed17",12
10236,"1209","Medicament1209","Cond11","CategoryMed21","MarqueMed4",12
4669,"16","Medicament16","Cond9","CategoryMed31","MarqueMed12",12
7687,"716","Medicament716","Cond9","CategoryMed4","MarqueMed17",12
2120,"1104","Medicament1104","Cond5","CategoryMed35","MarqueMed1",12
5138,"221","Medicament221","Cond4","CategoryMed21","MarqueMed11",12
2589,"1527","Medicament1527","Cond4","CategoryMed42","MarqueMed2",12
5607,"644","Medicament644","Cond7","CategoryMed46","MarqueMed22",12
40,"1032","Medicament1032","Cond11","CategoryMed12","MarqueMed21",12
19759,"781","Medicament781","Cond5","CategoryMed50","MarqueMed23",12
3058,"195","Medicament195","Cond2","CategoryMed1","MarqueMed13",12
17210,"287","Medicament287","Cond13","CategoryMed31","MarqueMed1",12
509,"1455","Medicament1455","Cond5","CategoryMed38","MarqueMed6",12
14661,"1592","Medicament1592","Cond12","CategoryMed1","MarqueMed9",12
17679,"709","Medicament709","Cond10","CategoryMed38","MarqueMed1",12
15130,"214","Medicament214","Cond9","CategoryMed1","MarqueMed13",12
18148,"113","Medicament113","Cond10","CategoryMed39","MarqueMed10",12
12581,"152","Medicament152","Cond10","CategoryMed15","MarqueMed17",12
15599,"637","Medicament637","Cond2","CategoryMed41","MarqueMed19",12
10032,"1025","Medicament1025","Cond13","CategoryMed46","MarqueMed1",12
18617,"1552","Medicament1552","Cond10","CategoryMed38","MarqueMed9",12
13050,"1942","Medicament1942","Cond8","CategoryMed18","MarqueMed10",12
7483,"532","Medicament532","Cond9","CategoryMed11","MarqueMed8",12
16068,"1058","Medicament1058","Cond4","CategoryMed15","MarqueMed20",12
10501,"1448","Medicament1448","Cond13","CategoryMed28","MarqueMed13",12
13519,"565","Medicament565","Cond4","CategoryMed44","MarqueMed3",12
7952,"955","Medicament955","Cond4","CategoryMed21","MarqueMed12",12
10970,"1870","Medicament1870","Cond5","CategoryMed15","MarqueMed6",12
5403,"460","Medicament460","Cond4","CategoryMed43","MarqueMed23",12
8421,"1376","Medicament1376","Cond2","CategoryMed23","MarqueMed3",12
2854,"1766","Medicament1766","Cond1","CategoryMed22","MarqueMed22",12
11439,"493","Medicament493","Cond13","CategoryMed27","MarqueMed9",12
5872,"883","Medicament883","Cond4","CategoryMed25","MarqueMed7",12
8890,"1799","Medicament1799","Cond5","CategoryMed1","MarqueMed10",12
3323,"389","Medicament389","Cond3","CategoryMed37","MarqueMed6",12
6341,"1303","Medicament1303","Cond13","CategoryMed36","MarqueMed4",12
774,"1694","Medicament1694","Cond3","CategoryMed30","MarqueMed15",12
3792,"810","Medicament810","Cond10","CategoryMed26","MarqueMed18",12
1243,"316","Medicament316","Cond10","CategoryMed25","MarqueMed6",12
4261,"1231","Medicament1231","Cond8","CategoryMed30","MarqueMed19",12
18413,"1369","Medicament1369","Cond2","CategoryMed43","MarqueMed1",12
1712,"739","Medicament739","Cond4","CategoryMed50","MarqueMed6",12
15864,"876","Medicament876","Cond12","CategoryMed30","MarqueMed14",12
18882,"1791","Medicament1791","Cond4","CategoryMed20","MarqueMed17",12
13315,"381","Medicament381","Cond13","CategoryMed37","MarqueMed10",12
16333,"1297","Medicament1297","Cond7","CategoryMed13","MarqueMed10",12
19351,"413","Medicament413","Cond9","CategoryMed15","MarqueMed11",12
13784,"803","Medicament803","Cond7","CategoryMed29","MarqueMed17",12
16802,"1719","Medicament1719","Cond6","CategoryMed9","MarqueMed9",12
11235,"309","Medicament309","Cond1","CategoryMed25","MarqueMed18",12
14253,"1224","Medicament1224","Cond11","CategoryMed18","MarqueMed22",12
8686,"1614","Medicament1614","Cond8","CategoryMed42","MarqueMed10",12
17271,"341","Medicament341","Cond9","CategoryMed21","MarqueMed2",12
11704,"731","Medicament731","Cond12","CategoryMed39","MarqueMed2",12
6137,"112","Medicament112","Cond12","CategoryMed43","MarqueMed20",12
14722,"1647","Medicament1647","Cond13","CategoryMed38","MarqueMed15",12
9155,"237","Medicament237","Cond13","CategoryMed42","MarqueMed23",12
12173,"1152","Medicament1152","Cond2","CategoryMed19","MarqueMed20",12
6606,"1542","Medicament1542","Cond12","CategoryMed6","MarqueMed1",12
9624,"66","Medicament66","Cond6","CategoryMed15","MarqueMed5",12
4057,"1048","Medicament1048","Cond4","CategoryMed49","MarqueMed9",12
7075,"1965","Medicament1965","Cond8","CategoryMed19","MarqueMed21",12
1508,"555","Medicament555","Cond6","CategoryMed18","MarqueMed1",12
10093,"1080","Medicament1080","Cond5","CategoryMed12","MarqueMed7",12
4526,"1470","Medicament1470","Cond3","CategoryMed24","MarqueMed15",12
7544,"588","Medicament588","Cond3","CategoryMed31","MarqueMed7",12
1977,"978","Medicament978","Cond2","CategoryMed45","MarqueMed3",12
4995,"1893","Medicament1893","Cond2","CategoryMed1","MarqueMed5",12
19147,"23","Medicament23","Cond13","CategoryMed19","MarqueMed12",12
2446,"1399","Medicament1399","Cond9","CategoryMed49","MarqueMed5",12
5464,"515","Medicament515","Cond6","CategoryMed49","MarqueMed19",12
19616,"652","Medicament652","Cond2","CategoryMed3","MarqueMed16",12
2915,"1820","Medicament1820","Cond4","CategoryMed5","MarqueMed11",12
17067,"1958","Medicament1958","Cond5","CategoryMed31","MarqueMed10",12
366,"1326","Medicament1326","Cond13","CategoryMed16","MarqueMed1",12
14518,"1463","Medicament1463","Cond9","CategoryMed11","MarqueMed21",12
17536,"580","Medicament580","Cond9","CategoryMed13","MarqueMed1",12
11969,"970","Medicament970","Cond10","CategoryMed9","MarqueMed18",12
14987,"1886","Medicament1886","Cond1","CategoryMed7","MarqueMed4",12
18005,"1000","Medicament1000","Cond6","CategoryMed46","MarqueMed3",12
12438,"1391","Medicament1391","Cond8","CategoryMed43","MarqueMed18",12
15456,"508","Medicament508","Cond7","CategoryMed34","MarqueMed5",12
9889,"899","Medicament899","Cond2","CategoryMed23","MarqueMed1",12
12907,"1813","Medicament1813","Cond11","CategoryMed42","MarqueMed20",12
7340,"403","Medicament403","Cond3","CategoryMed14","MarqueMed17",12
15925,"930","Medicament930","Cond13","CategoryMed10","MarqueMed17",12
10358,"1319","Medicament1319","Cond4","CategoryMed30","MarqueMed15",12
13376,"436","Medicament436","Cond9","CategoryMed30","MarqueMed1",12
7809,"826","Medicament826","Cond6","CategoryMed50","MarqueMed4",12
10827,"1741","Medicament1741","Cond1","CategoryMed32","MarqueMed9",12
5260,"331","Medicament331","Cond3","CategoryMed35","MarqueMed9",12
8278,"1247","Medicament1247","Cond1","CategoryMed18","MarqueMed5",12
2711,"1637","Medicament1637","Cond9","CategoryMed2","MarqueMed7",12
5729,"754","Medicament754","Cond12","CategoryMed11","MarqueMed18",12
162,"1142","Medicament1142","Cond11","CategoryMed50","MarqueMed21",12
8747,"167","Medicament167","Cond5","CategoryMed5","MarqueMed21",12
3180,"26","Medicament26","Cond5","CategoryMed10","MarqueMed4",12
6198,"1175","Medicament1175","Cond9","CategoryMed28","MarqueMed17",12
631,"1565","Medicament1565","Cond4","CategoryMed5","MarqueMed19",12
3649,"682","Medicament682","Cond7","CategoryMed41","MarqueMed3",12
17801,"819","Medicament819","Cond8","CategoryMed3","MarqueMed6",12
1100,"1988","Medicament1988","Cond6","CategoryMed1","MarqueMed8",12
4118,"1102","Medicament1102","Cond8","CategoryMed23","MarqueMed21",12
18270,"124","Medicament124","Cond13","CategoryMed3","MarqueMed7",12
1569,"61","Medicament61","Cond11","CategoryMed5","MarqueMed13",12
15721,"747","Medicament747","Cond4","CategoryMed23","MarqueMed13",12
18739,"1662","Medicament1662","Cond13","CategoryMed3","MarqueMed13",12
13172,"252","Medicament252","Cond2","CategoryMed5","MarqueMed13",12
16190,"1168","Medicament1168","Cond13","CategoryMed48","MarqueMed19",12
19208,"285","Medicament285","Cond5","CategoryMed29","MarqueMed22",12
13641,"675","Medicament675","Cond9","CategoryMed18","MarqueMed15",12
16659,"1590","Medicament1590","Cond1","CategoryMed50","MarqueMed21",12
11092,"1980","Medicament1980","Cond5","CategoryMed39","MarqueMed11",12
14110,"1096","Medicament1096","Cond11","CategoryMed26","MarqueMed19",12
8543,"1486","Medicament1486","Cond7","CategoryMed18","MarqueMed12",12
11561,"602","Medicament602","Cond7","CategoryMed1","MarqueMed23",12
5994,"993","Medicament993","Cond2","CategoryMed44","MarqueMed1",12
14579,"1518","Medicament1518","Cond1","CategoryMed15","MarqueMed4",12
9012,"1908","Medicament1908","Cond1","CategoryMed38","MarqueMed20",12
12030,"1023","Medicament1023","Cond1","CategoryMed32","MarqueMed20",12
6463,"1413","Medicament1413","Cond11","CategoryMed50","MarqueMed6",12
9481,"530","Medicament530","Cond3","CategoryMed23","MarqueMed18",12
3914,"920","Medicament920","Cond5","CategoryMed30","MarqueMed3",12
6932,"1836","Medicament1836","Cond13","CategoryMed8","MarqueMed9",12
1365,"426","Medicament426","Cond10","CategoryMed7","MarqueMed2",12
9950,"953","Medicament953","Cond2","CategoryMed47","MarqueMed16",12
4383,"1341","Medicament1341","Cond8","CategoryMed50","MarqueMed17",12
7401,"459","Medicament459","Cond1","CategoryMed42","MarqueMed18",12
1834,"849","Medicament849","Cond8","CategoryMed47","MarqueMed15",12
4852,"1764","Medicament1764","Cond6","CategoryMed48","MarqueMed6",12
19004,"1900","Medicament1900","Cond11","CategoryMed5","MarqueMed14",12
2303,"127","Medicament127","Cond4","CategoryMed28","MarqueMed16",12
16455,"1406","Medicament1406","Cond3","CategoryMed2","MarqueMed17",12
19473,"523","Medicament523","Cond4","CategoryMed34","MarqueMed2",12
2772,"1692","Medicament1692","Cond10","CategoryMed13","MarqueMed13",12
16924,"1829","Medicament1829","Cond1","CategoryMed16","MarqueMed7",12
223,"1198","Medicament1198","Cond3","CategoryMed45","MarqueMed22",12
19942,"946","Medicament946","Cond8","CategoryMed6","MarqueMed19",12
14375,"1334","Medicament1334","Cond2","CategoryMed11","MarqueMed1",12
17393,"451","Medicament451","Cond4","CategoryMed37","MarqueMed3",12
11826,"841","Medicament841","Cond8","CategoryMed35","MarqueMed17",12
14844,"1757","Medicament1757","Cond4","CategoryMed19","MarqueMed12",12
17862,"874","Medicament874","Cond9","CategoryMed31","MarqueMed20",12
12295,"1262","Medicament1262","Cond4","CategoryMed7","MarqueMed20",12
15313,"38","Medicament38","Cond13","CategoryMed28","MarqueMed12",12
9746,"77","Medicament77","Cond10","CategoryMed36","MarqueMed9",12
12764,"1685","Medicament1685","Cond3","CategoryMed34","MarqueMed1",12
7197,"275","Medicament275","Cond10","CategoryMed9","MarqueMed21",12
10215,"1190","Medicament1190","Cond2","CategoryMed46","MarqueMed11",12
4648,"1580","Medicament1580","Cond2","CategoryMed43","MarqueMed15",12
13233,"307","Medicament307","Cond4","CategoryMed34","MarqueMed8",12
7666,"698","Medicament698","Cond11","CategoryMed40","MarqueMed1",12
10684,"1612","Medicament1612","Cond3","CategoryMed36","MarqueMed20",12
5117,"202","Medicament202","Cond7","CategoryMed47","MarqueMed17",12
8135,"1118","Medicament1118","Cond4","CategoryMed48","MarqueMed14",12
2568,"1508","Medicament1508","Cond5","CategoryMed43","MarqueMed6",12
5586,"625","Medicament625","Cond12","CategoryMed30","MarqueMed18",12
19,"1013","Medicament1013","Cond4","CategoryMed15","MarqueMed1",12
8604,"1540","Medicament1540","Cond10","CategoryMed46","MarqueMed19",12
3037,"1930","Medicament1930","Cond10","CategoryMed48","MarqueMed6",12
6055,"1046","Medicament1046","Cond5","CategoryMed48","MarqueMed11",12
488,"1436","Medicament1436","Cond2","CategoryMed20","MarqueMed13",12
3506,"553","Medicament553","Cond7","CategoryMed45","MarqueMed14",12
17658,"690","Medicament690","Cond10","CategoryMed26","MarqueMed9",12
957,"1859","Medicament1859","Cond11","CategoryMed24","MarqueMed12",12
18127,"1110","Medicament1110","Cond5","CategoryMed17","MarqueMed13",12
1426,"481","Medicament481","Cond1","CategoryMed5","MarqueMed20",12
15578,"618","Medicament618","Cond8","CategoryMed14","MarqueMed14",12
18596,"1533","Medicament1533","Cond7","CategoryMed13","MarqueMed9",12
13029,"1923","Medicament1923","Cond5","CategoryMed46","MarqueMed13",12
16047,"1039","Medicament1039","Cond10","CategoryMed22","MarqueMed12",12
10480,"1429","Medicament1429","Cond12","CategoryMed26","MarqueMed1",12
19065,"1956","Medicament1956","Cond10","CategoryMed12","MarqueMed13",12
13498,"546","Medicament546","Cond3","CategoryMed40","MarqueMed2",12
16516,"1461","Medicament1461","Cond6","CategoryMed48","MarqueMed21",12
10949,"1851","Medicament1851","Cond7","CategoryMed37","MarqueMed20",12
13967,"969","Medicament969","Cond9","CategoryMed11","MarqueMed23",12
8400,"1357","Medicament1357","Cond1","CategoryMed26","MarqueMed22",12
11418,"474","Medicament474","Cond5","CategoryMed22","MarqueMed9",12
5851,"864","Medicament864","Cond4","CategoryMed25","MarqueMed19",12
14436,"139","Medicament139","Cond8","CategoryMed19","MarqueMed10",12
8869,"178","Medicament178","Cond9","CategoryMed39","MarqueMed7",12
3302,"37","Medicament37","Cond1","CategoryMed13","MarqueMed22",12
11887,"897","Medicament897","Cond11","CategoryMed35","MarqueMed14",12
6320,"1285","Medicament1285","Cond8","CategoryMed23","MarqueMed23",12
9338,"401","Medicament401","Cond9","CategoryMed27","MarqueMed23",12
3771,"792","Medicament792","Cond13","CategoryMed47","MarqueMed14",12
6789,"1707","Medicament1707","Cond3","CategoryMed5","MarqueMed12",12
1222,"298","Medicament298","Cond13","CategoryMed46","MarqueMed17",12
4240,"1212","Medicament1212","Cond1","CategoryMed10","MarqueMed9",12
7258,"33","Medicament33","Cond5","CategoryMed48","MarqueMed21",12
1691,"72","Medicament72","Cond1","CategoryMed38","MarqueMed17",12
4709,"1635","Medicament1635","Cond5","CategoryMed12","MarqueMed19",12
18861,"1772","Medicament1772","Cond5","CategoryMed13","MarqueMed13",12
2160,"1140","Medicament1140","Cond13","CategoryMed27","MarqueMed6",12
16312,"1278","Medicament1278","Cond12","CategoryMed10","MarqueMed6",12
19330,"395","Medicament395","Cond6","CategoryMed38","MarqueMed5",12
16781,"170","Medicament170","Cond12","CategoryMed45","MarqueMed7",12
80,"1069","Medicament1069","Cond5","CategoryMed13","MarqueMed8",12
19799,"817","Medicament817","Cond3","CategoryMed28","MarqueMed13",12
14232,"1205","Medicament1205","Cond10","CategoryMed37","MarqueMed22",12
17250,"322","Medicament322","Cond7","CategoryMed10","MarqueMed18",12
11683,"712","Medicament712","Cond3","CategoryMed41","MarqueMed18",12
14701,"1628","Medicament1628","Cond10","CategoryMed13","MarqueMed5",12
