CD_MEDICAMENT;NOM_MEDICAMENT;CONDIT_MEDICAMENT;CATG_MEDICAMENT;MARQUE_FABRI
85;Medicament85;Cond5;CategoryMed5;MarqueMed12
86;Medicament86;Cond13;CategoryMed34;MarqueMed6
87;Medicament87;Cond3;CategoryMed31;MarqueMed4
88;Medicament88;Cond11;CategoryMed29;MarqueMed21
89;Medicament89;Cond3;CategoryMed35;MarqueMed22
90;Medicament90;Cond6;CategoryMed35;MarqueMed9
91;Medicament91;Cond2;CategoryMed34;MarqueMed17
92;Medicament92;Cond9;CategoryMed49;MarqueMed12
93;Medicament93;Cond1;CategoryMed17;MarqueMed13
94;Medicament94;Cond3;CategoryMed32;MarqueMed13
95;Medicament95;Cond4;CategoryMed32;MarqueMed5
96;Medicament96;Cond6;CategoryMed49;MarqueMed1
97;Medicament97;Cond10;CategoryMed31;MarqueMed12
98;Medicament98;Cond10;CategoryMed27;MarqueMed22
99;Medicament99;Cond4;CategoryMed22;MarqueMed17
100;Medicament100;Cond8;CategoryMed12;MarqueMed5
101;Medicament101;Cond9;CategoryMed37;MarqueMed2
102;Medicament102;Cond2;CategoryMed39;MarqueMed1
103;Medicament103;Cond6;CategoryMed16;MarqueMed16
104;Medicament104;Cond13;CategoryMed13;MarqueMed23
105;Medicament105;Cond10;CategoryMed32;MarqueMed4
106;Medicament106;Cond5;CategoryMed10;MarqueMed9
107;Medicament107;Cond6;CategoryMed40;MarqueMed3
108;Medicament108;Cond9;CategoryMed49;MarqueMed13
109;Medicament109;Cond6;CategoryMed9;MarqueMed8
110;Medicament110;Cond12;CategoryMed25;MarqueMed11
111;Medicament111;Cond11;CategoryMed30;MarqueMed22
112;Medicament112;Cond12;CategoryMed43;MarqueMed20
113;Medicament113;Cond10;CategoryMed39;MarqueMed10
114;Medicament114;Cond12;CategoryMed6;MarqueMed1
115;Medicament115;Cond6;CategoryMed34;MarqueMed1
116;Medicament116;Cond12;CategoryMed18;MarqueMed23
117;Medicament117;Cond1;CategoryMed38;MarqueMed23
118;Medicament118;Cond6;CategoryMed43;MarqueMed3
119;Medicament119;Cond11;CategoryMed1;MarqueMed1
120;Medicament120;Cond6;CategoryMed11;MarqueMed10
121;Medicament121;Cond13;CategoryMed16;MarqueMed20
122;Medicament122;Cond3;CategoryMed18;MarqueMed15
123;Medicament123;Cond9;CategoryMed47;MarqueMed20
124;Medicament124;Cond13;CategoryMed3;MarqueMed7
125;Medicament125;Cond9;CategoryMed29;MarqueMed6
126;Medicament126;Cond11;CategoryMed7;MarqueMed11
127;Medicament127;Cond4;CategoryMed28;MarqueMed16
128;Medicament128;Cond7;CategoryMed15;MarqueMed21
129;Medicament129;Cond6;CategoryMed50;MarqueMed1
130;Medicament130;Cond5;CategoryMed44;MarqueMed6
131;Medicament131;Cond9;CategoryMed12;MarqueMed2
132;Medicament132;Cond13;CategoryMed29;MarqueMed15
133;Medicament133;Cond6;CategoryMed49;MarqueMed16
134;Medicament134;Cond7;CategoryMed40;MarqueMed6
135;Medicament135;Cond13;CategoryMed8;MarqueMed14
136;Medicament136;Cond9;CategoryMed37;MarqueMed5
137;Medicament137;Cond1;CategoryMed23;MarqueMed3
138;Medicament138;Cond9;CategoryMed20;MarqueMed4
139;Medicament139;Cond8;CategoryMed19;MarqueMed10
140;Medicament140;Cond10;CategoryMed5;MarqueMed6
141;Medicament141;Cond7;CategoryMed38;MarqueMed15
142;Medicament142;Cond9;CategoryMed24;MarqueMed4
143;Medicament143;Cond10;CategoryMed12;MarqueMed17
144;Medicament144;Cond11;CategoryMed23;MarqueMed4
145;Medicament145;Cond1;CategoryMed3;MarqueMed11
146;Medicament146;Cond5;CategoryMed3;MarqueMed15
147;Medicament147;Cond9;CategoryMed45;MarqueMed21
148;Medicament148;Cond6;CategoryMed36;MarqueMed6
149;Medicament149;Cond3;CategoryMed14;MarqueMed23
150;Medicament150;Cond8;CategoryMed4;MarqueMed12
151;Medicament151;Cond10;CategoryMed9;MarqueMed2
152;Medicament152;Cond10;CategoryMed15;MarqueMed17
153;Medicament153;Cond7;CategoryMed45;MarqueMed23
154;Medicament154;Cond5;CategoryMed25;MarqueMed7
155;Medicament155;Cond13;CategoryMed1;MarqueMed1
156;Medicament156;Cond10;CategoryMed24;MarqueMed5
157;Medicament157;Cond3;CategoryMed46;MarqueMed11
158;Medicament158;Cond10;CategoryMed36;MarqueMed11
159;Medicament159;Cond12;CategoryMed30;MarqueMed8
160;Medicament160;Cond5;CategoryMed45;MarqueMed22
161;Medicament161;Cond7;CategoryMed40;MarqueMed4
162;Medicament162;Cond8;CategoryMed47;MarqueMed6
163;Medicament163;Cond4;CategoryMed16;MarqueMed3
164;Medicament164;Cond11;CategoryMed44;MarqueMed22
165;Medicament165;Cond7;CategoryMed46;MarqueMed21
166;Medicament166;Cond7;CategoryMed35;MarqueMed11
167;Medicament167;Cond5;CategoryMed5;MarqueMed21
168;Medicament168;Cond3;CategoryMed20;MarqueMed3
169;Medicament169;Cond11;CategoryMed35;MarqueMed13
170;Medicament170;Cond12;CategoryMed45;MarqueMed7
171;Medicament171;Cond9;CategoryMed43;MarqueMed7
172;Medicament172;Cond4;CategoryMed32;MarqueMed5
173;Medicament173;Cond3;CategoryMed22;MarqueMed14
174;Medicament174;Cond12;CategoryMed13;MarqueMed1
175;Medicament175;Cond1;CategoryMed29;MarqueMed2
176;Medicament176;Cond8;CategoryMed21;MarqueMed17
177;Medicament177;Cond13;CategoryMed16;MarqueMed1
178;Medicament178;Cond9;CategoryMed39;MarqueMed7
179;Medicament179;Cond13;CategoryMed31;MarqueMed6
180;Medicament180;Cond5;CategoryMed12;MarqueMed12
181;Medicament181;Cond9;CategoryMed17;MarqueMed6
182;Medicament182;Cond2;CategoryMed44;MarqueMed1
183;Medicament183;Cond7;CategoryMed48;MarqueMed15
184;Medicament184;Cond7;CategoryMed39;MarqueMed7
185;Medicament185;Cond12;CategoryMed47;MarqueMed1
186;Medicament186;Cond12;CategoryMed29;MarqueMed12
187;Medicament187;Cond1;CategoryMed42;MarqueMed10
188;Medicament188;Cond7;CategoryMed1;MarqueMed1
189;Medicament189;Cond13;CategoryMed17;MarqueMed22
190;Medicament190;Cond8;CategoryMed5;MarqueMed5
191;Medicament191;Cond2;CategoryMed31;MarqueMed2
192;Medicament192;Cond6;CategoryMed3;MarqueMed15
193;Medicament193;Cond8;CategoryMed34;MarqueMed7
194;Medicament194;Cond7;CategoryMed26;MarqueMed23
195;Medicament195;Cond2;CategoryMed1;MarqueMed13
196;Medicament196;Cond9;CategoryMed16;MarqueMed15
197;Medicament197;Cond4;CategoryMed2;MarqueMed6
198;Medicament198;Cond9;CategoryMed12;MarqueMed5
199;Medicament199;Cond9;CategoryMed40;MarqueMed10
200;Medicament200;Cond5;CategoryMed38;MarqueMed10
201;Medicament201;Cond7;CategoryMed44;MarqueMed9
202;Medicament202;Cond7;CategoryMed47;MarqueMed17
203;Medicament203;Cond8;CategoryMed22;MarqueMed3
204;Medicament204;Cond4;CategoryMed45;MarqueMed10
205;Medicament205;Cond9;CategoryMed10;MarqueMed11
206;Medicament206;Cond4;CategoryMed41;MarqueMed14
207;Medicament207;Cond11;CategoryMed25;MarqueMed5
208;Medicament208;Cond3;CategoryMed10;MarqueMed17
209;Medicament209;Cond9;CategoryMed16;MarqueMed10
210;Medicament210;Cond2;CategoryMed20;MarqueMed19
211;Medicament211;Cond2;CategoryMed42;MarqueMed1
212;Medicament212;Cond3;CategoryMed29;MarqueMed1
213;Medicament213;Cond6;CategoryMed12;MarqueMed1
214;Medicament214;Cond9;CategoryMed1;MarqueMed13
215;Medicament215;Cond2;CategoryMed41;MarqueMed15
216;Medicament216;Cond1;CategoryMed25;MarqueMed1
217;Medicament217;Cond4;CategoryMed7;MarqueMed5
218;Medicament218;Cond3;CategoryMed20;MarqueMed1
219;Medicament219;Cond6;CategoryMed18;MarqueMed18
220;Medicament220;Cond2;CategoryMed13;MarqueMed21
221;Medicament221;Cond4;CategoryMed21;MarqueMed11
222;Medicament222;Cond6;CategoryMed6;MarqueMed11
223;Medicament223;Cond12;CategoryMed47;MarqueMed3
224;Medicament224;Cond3;CategoryMed23;MarqueMed17
225;Medicament225;Cond2;CategoryMed41;MarqueMed8
226;Medicament226;Cond6;CategoryMed30;MarqueMed1
227;Medicament227;Cond9;CategoryMed23;MarqueMed3
228;Medicament228;Cond7;CategoryMed9;MarqueMed2
229;Medicament229;Cond11;CategoryMed38;MarqueMed3
230;Medicament230;Cond3;CategoryMed21;MarqueMed7
231;Medicament231;Cond4;CategoryMed2;MarqueMed16
232;Medicament232;Cond4;CategoryMed46;MarqueMed2
233;Medicament233;Cond10;CategoryMed27;MarqueMed6
234;Medicament234;Cond6;CategoryMed40;MarqueMed19
235;Medicament235;Cond2;CategoryMed20;MarqueMed7
236;Medicament236;Cond13;CategoryMed50;MarqueMed1
237;Medicament237;Cond13;CategoryMed42;MarqueMed23
238;Medicament238;Cond1;CategoryMed34;MarqueMed10
239;Medicament239;Cond10;CategoryMed42;MarqueMed21
240;Medicament240;Cond1;CategoryMed11;MarqueMed19
241;Medicament241;Cond8;CategoryMed17;MarqueMed20
242;Medicament242;Cond11;CategoryMed1;MarqueMed16
243;Medicament243;Cond11;CategoryMed26;MarqueMed13
244;Medicament244;Cond10;CategoryMed22;MarqueMed21
245;Medicament245;Cond8;CategoryMed50;MarqueMed19
246;Medicament246;Cond13;CategoryMed7;MarqueMed17
247;Medicament247;Cond6;CategoryMed36;MarqueMed21
248;Medicament248;Cond8;CategoryMed16;MarqueMed23
249;Medicament249;Cond5;CategoryMed32;MarqueMed1
250;Medicament250;Cond3;CategoryMed2;MarqueMed22
251;Medicament251;Cond13;CategoryMed50;MarqueMed1
252;Medicament252;Cond2;CategoryMed5;MarqueMed13
253;Medicament253;Cond7;CategoryMed10;MarqueMed5
254;Medicament254;Cond3;CategoryMed28;MarqueMed9
255;Medicament255;Cond9;CategoryMed45;MarqueMed18
256;Medicament256;Cond6;CategoryMed15;MarqueMed19
257;Medicament257;Cond12;CategoryMed6;MarqueMed9
258;Medicament258;Cond8;CategoryMed39;MarqueMed23
259;Medicament259;Cond13;CategoryMed40;MarqueMed18
260;Medicament260;Cond4;CategoryMed50;MarqueMed2
261;Medicament261;Cond9;CategoryMed48;MarqueMed4
262;Medicament262;Cond4;CategoryMed16;MarqueMed14
263;Medicament263;Cond6;CategoryMed19;MarqueMed4
264;Medicament264;Cond8;CategoryMed26;MarqueMed1
265;Medicament265;Cond12;CategoryMed15;MarqueMed7
266;Medicament266;Cond3;CategoryMed36;MarqueMed20
267;Medicament267;Cond6;CategoryMed18;MarqueMed5
268;Medicament268;Cond6;CategoryMed42;MarqueMed22
269;Medicament269;Cond4;CategoryMed28;MarqueMed20
270;Medicament270;Cond4;CategoryMed28;MarqueMed4
271;Medicament271;Cond12;CategoryMed28;MarqueMed3
272;Medicament272;Cond9;CategoryMed12;MarqueMed3
273;Medicament273;Cond4;CategoryMed43;MarqueMed23
274;Medicament274;Cond11;CategoryMed5;MarqueMed10
275;Medicament275;Cond10;CategoryMed9;MarqueMed21
276;Medicament276;Cond13;CategoryMed38;MarqueMed2
277;Medicament277;Cond10;CategoryMed49;MarqueMed3
278;Medicament278;Cond7;CategoryMed11;MarqueMed13
279;Medicament279;Cond11;CategoryMed15;MarqueMed20
280;Medicament280;Cond9;CategoryMed16;MarqueMed10
281;Medicament281;Cond8;CategoryMed22;MarqueMed9
282;Medicament282;Cond5;CategoryMed4;MarqueMed11
283;Medicament283;Cond9;CategoryMed26;MarqueMed14
284;Medicament284;Cond7;CategoryMed42;MarqueMed10
285;Medicament285;Cond5;CategoryMed29;MarqueMed22
286;Medicament286;Cond12;CategoryMed37;MarqueMed12
287;Medicament287;Cond13;CategoryMed31;MarqueMed1
288;Medicament288;Cond6;CategoryMed24;MarqueMed7
289;Medicament289;Cond3;CategoryMed35;MarqueMed16
290;Medicament290;Cond3;CategoryMed21;MarqueMed15
291;Medicament291;Cond1;CategoryMed42;MarqueMed1
292;Medicament292;Cond10;CategoryMed12;MarqueMed14
293;Medicament293;Cond6;CategoryMed2;MarqueMed21
294;Medicament294;Cond6;CategoryMed10;MarqueMed7
295;Medicament295;Cond9;CategoryMed10;MarqueMed13
296;Medicament296;Cond8;CategoryMed20;MarqueMed7
297;Medicament297;Cond8;CategoryMed13;MarqueMed20
298;Medicament298;Cond13;CategoryMed46;MarqueMed17
299;Medicament299;Cond4;CategoryMed3;MarqueMed3
300;Medicament300;Cond2;CategoryMed50;MarqueMed20
301;Medicament301;Cond8;CategoryMed5;MarqueMed1
302;Medicament302;Cond6;CategoryMed41;MarqueMed15
303;Medicament303;Cond2;CategoryMed4;MarqueMed12
304;Medicament304;Cond3;CategoryMed47;MarqueMed14
305;Medicament305;Cond5;CategoryMed2;MarqueMed18
306;Medicament306;Cond1;CategoryMed7;MarqueMed15
307;Medicament307;Cond4;CategoryMed34;MarqueMed8
308;Medicament308;Cond6;CategoryMed18;MarqueMed12
309;Medicament309;Cond1;CategoryMed25;MarqueMed18
310;Medicament310;Cond7;CategoryMed19;MarqueMed6
311;Medicament311;Cond6;CategoryMed22;MarqueMed17
312;Medicament312;Cond3;CategoryMed3;MarqueMed4
313;Medicament313;Cond11;CategoryMed14;MarqueMed11
314;Medicament314;Cond6;CategoryMed1;MarqueMed4
315;Medicament315;Cond1;CategoryMed35;MarqueMed9
316;Medicament316;Cond10;CategoryMed25;MarqueMed6
317;Medicament317;Cond8;CategoryMed35;MarqueMed17
318;Medicament318;Cond4;CategoryMed9;MarqueMed2
319;Medicament319;Cond9;CategoryMed36;MarqueMed2
320;Medicament320;Cond10;CategoryMed29;MarqueMed3
321;Medicament321;Cond3;CategoryMed21;MarqueMed12
322;Medicament322;Cond7;CategoryMed10;MarqueMed18
323;Medicament323;Cond5;CategoryMed19;MarqueMed20
324;Medicament324;Cond1;CategoryMed21;MarqueMed1
325;Medicament325;Cond13;CategoryMed43;MarqueMed10
326;Medicament326;Cond1;CategoryMed20;MarqueMed2
327;Medicament327;Cond8;CategoryMed9;MarqueMed5
328;Medicament328;Cond12;CategoryMed47;MarqueMed7
329;Medicament329;Cond4;CategoryMed38;MarqueMed10
330;Medicament330;Cond11;CategoryMed24;MarqueMed10
331;Medicament331;Cond3;CategoryMed35;MarqueMed9
332;Medicament332;Cond13;CategoryMed24;MarqueMed5
333;Medicament333;Cond10;CategoryMed49;MarqueMed16
334;Medicament334;Cond1;CategoryMed31;MarqueMed21
335;Medicament335;Cond6;CategoryMed26;MarqueMed17
336;Medicament336;Cond7;CategoryMed41;MarqueMed7
337;Medicament337;Cond8;CategoryMed44;MarqueMed2
338;Medicament338;Cond9;CategoryMed32;MarqueMed5
339;Medicament339;Cond9;CategoryMed10;MarqueMed17
340;Medicament340;Cond1;CategoryMed37;MarqueMed20
341;Medicament341;Cond9;CategoryMed21;MarqueMed2
342;Medicament342;Cond7;CategoryMed45;MarqueMed5
343;Medicament343;Cond2;CategoryMed26;MarqueMed6
344;Medicament344;Cond7;CategoryMed20;MarqueMed1
345;Medicament345;Cond4;CategoryMed31;MarqueMed15
346;Medicament346;Cond12;CategoryMed15;MarqueMed21
347;Medicament347;Cond1;CategoryMed28;MarqueMed15
348;Medicament348;Cond12;CategoryMed39;MarqueMed11
349;Medicament349;Cond2;CategoryMed25;MarqueMed16
350;Medicament350;Cond10;CategoryMed11;MarqueMed5
351;Medicament351;Cond11;CategoryMed19;MarqueMed17
352;Medicament352;Cond6;CategoryMed16;MarqueMed9
353;Medicament353;Cond7;CategoryMed44;MarqueMed11
354;Medicament354;Cond7;CategoryMed32;MarqueMed18
355;Medicament355;Cond5;CategoryMed7;MarqueMed17
356;Medicament356;Cond9;CategoryMed3;MarqueMed21
357;Medicament357;Cond6;CategoryMed17;MarqueMed1
358;Medicament358;Cond11;CategoryMed29;MarqueMed12
359;Medicament359;Cond4;CategoryMed43;MarqueMed8
360;Medicament360;Cond4;CategoryMed8;MarqueMed15
361;Medicament361;Cond10;CategoryMed41;MarqueMed18
362;Medicament362;Cond4;CategoryMed7;MarqueMed13
363;Medicament363;Cond1;CategoryMed41;MarqueMed23
364;Medicament364;Cond13;CategoryMed3;MarqueMed6
365;Medicament365;Cond12;CategoryMed50;MarqueMed15
366;Medicament366;Cond5;CategoryMed20;MarqueMed20
367;Medicament367;Cond9;CategoryMed37;MarqueMed8
368;Medicament368;Cond4;CategoryMed19;MarqueMed17
369;Medicament369;Cond12;CategoryMed8;MarqueMed20
370;Medicament370;Cond10;CategoryMed4;MarqueMed17
371;Medicament371;Cond7;CategoryMed13;MarqueMed9
372;Medicament372;Cond1;CategoryMed10;MarqueMed5
373;Medicament373;Cond6;CategoryMed14;MarqueMed13
374;Medicament374;Cond2;CategoryMed47;MarqueMed11
375;Medicament375;Cond8;CategoryMed20;MarqueMed19
376;Medicament376;Cond7;CategoryMed32;MarqueMed3
377;Medicament377;Cond5;CategoryMed26;MarqueMed19
378;Medicament378;Cond10;CategoryMed29;MarqueMed18
379;Medicament379;Cond12;CategoryMed25;MarqueMed14
380;Medicament380;Cond5;CategoryMed16;MarqueMed16
381;Medicament381;Cond13;CategoryMed37;MarqueMed10
382;Medicament382;Cond10;CategoryMed13;MarqueMed22
383;Medicament383;Cond2;CategoryMed5;MarqueMed4
384;Medicament384;Cond9;CategoryMed2;MarqueMed13
385;Medicament385;Cond5;CategoryMed18;MarqueMed17
386;Medicament386;Cond3;CategoryMed23;MarqueMed4
387;Medicament387;Cond5;CategoryMed17;MarqueMed17
388;Medicament388;Cond6;CategoryMed19;MarqueMed3
389;Medicament389;Cond3;CategoryMed37;MarqueMed6
390;Medicament390;Cond13;CategoryMed12;MarqueMed9
391;Medicament391;Cond7;CategoryMed11;MarqueMed5
392;Medicament392;Cond7;CategoryMed11;MarqueMed7
393;Medicament393;Cond2;CategoryMed1;MarqueMed12
394;Medicament394;Cond7;CategoryMed50;MarqueMed14
395;Medicament395;Cond6;CategoryMed38;MarqueMed5
396;Medicament396;Cond5;CategoryMed35;MarqueMed7
397;Medicament397;Cond7;CategoryMed13;MarqueMed11
398;Medicament398;Cond1;CategoryMed36;MarqueMed14
399;Medicament399;Cond3;CategoryMed33;MarqueMed9
400;Medicament400;Cond5;CategoryMed7;MarqueMed21
401;Medicament401;Cond9;CategoryMed27;MarqueMed23
402;Medicament402;Cond1;CategoryMed29;MarqueMed3
403;Medicament403;Cond3;CategoryMed14;MarqueMed17
404;Medicament404;Cond7;CategoryMed21;MarqueMed5
405;Medicament405;Cond8;CategoryMed16;MarqueMed18
406;Medicament406;Cond5;CategoryMed3;MarqueMed10
407;Medicament407;Cond1;CategoryMed18;MarqueMed9
408;Medicament408;Cond4;CategoryMed7;MarqueMed13
409;Medicament409;Cond7;CategoryMed5;MarqueMed22
410;Medicament410;Cond13;CategoryMed42;MarqueMed1
411;Medicament411;Cond10;CategoryMed36;MarqueMed13
412;Medicament412;Cond13;CategoryMed46;MarqueMed4
413;Medicament413;Cond9;CategoryMed15;MarqueMed11
414;Medicament414;Cond3;CategoryMed45;MarqueMed10
415;Medicament415;Cond2;CategoryMed22;MarqueMed11
416;Medicament416;Cond5;CategoryMed42;MarqueMed12
417;Medicament417;Cond7;CategoryMed21;MarqueMed17
418;Medicament418;Cond13;CategoryMed2;MarqueMed21
419;Medicament419;Cond6;CategoryMed33;MarqueMed9
420;Medicament420;Cond1;CategoryMed20;MarqueMed9
421;Medicament421;Cond10;CategoryMed42;MarqueMed2
422;Medicament422;Cond13;CategoryMed20;MarqueMed23
423;Medicament423;Cond8;CategoryMed19;MarqueMed14
424;Medicament424;Cond6;CategoryMed39;MarqueMed6
425;Medicament425;Cond2;CategoryMed19;MarqueMed15
426;Medicament426;Cond10;CategoryMed7;MarqueMed2
427;Medicament427;Cond9;CategoryMed49;MarqueMed21
428;Medicament428;Cond12;CategoryMed44;MarqueMed6
429;Medicament429;Cond1;CategoryMed7;MarqueMed19
430;Medicament430;Cond3;CategoryMed37;MarqueMed23
431;Medicament431;Cond5;CategoryMed29;MarqueMed16
432;Medicament432;Cond7;CategoryMed30;MarqueMed15
433;Medicament433;Cond4;CategoryMed34;MarqueMed23
434;Medicament434;Cond1;CategoryMed36;MarqueMed5
435;Medicament435;Cond6;CategoryMed29;MarqueMed12
436;Medicament436;Cond9;CategoryMed30;MarqueMed1
437;Medicament437;Cond7;CategoryMed22;MarqueMed23
438;Medicament438;Cond2;CategoryMed16;MarqueMed13
439;Medicament439;Cond1;CategoryMed36;MarqueMed7
440;Medicament440;Cond5;CategoryMed4;MarqueMed14
441;Medicament441;Cond7;CategoryMed16;MarqueMed23
442;Medicament442;Cond10;CategoryMed36;MarqueMed17
443;Medicament443;Cond5;CategoryMed10;MarqueMed6
444;Medicament444;Cond1;CategoryMed42;MarqueMed7
445;Medicament445;Cond3;CategoryMed14;MarqueMed13
446;Medicament446;Cond4;CategoryMed10;MarqueMed21
447;Medicament447;Cond6;CategoryMed26;MarqueMed1
448;Medicament448;Cond9;CategoryMed40;MarqueMed16
449;Medicament449;Cond2;CategoryMed22;MarqueMed23
450;Medicament450;Cond13;CategoryMed42;MarqueMed22
451;Medicament451;Cond4;CategoryMed37;MarqueMed3
452;Medicament452;Cond4;CategoryMed38;MarqueMed10
453;Medicament453;Cond11;CategoryMed7;MarqueMed16
454;Medicament454;Cond4;CategoryMed41;MarqueMed19
455;Medicament455;Cond11;CategoryMed21;MarqueMed1
456;Medicament456;Cond4;CategoryMed12;MarqueMed18
457;Medicament457;Cond3;CategoryMed11;MarqueMed22
458;Medicament458;Cond4;CategoryMed50;MarqueMed22
459;Medicament459;Cond1;CategoryMed42;MarqueMed18
460;Medicament460;Cond4;CategoryMed43;MarqueMed23
461;Medicament461;Cond7;CategoryMed25;MarqueMed17
462;Medicament462;Cond8;CategoryMed17;MarqueMed16
463;Medicament463;Cond6;CategoryMed29;MarqueMed12
464;Medicament464;Cond11;CategoryMed3;MarqueMed20
465;Medicament465;Cond7;CategoryMed3;MarqueMed2
466;Medicament466;Cond10;CategoryMed5;MarqueMed13
467;Medicament467;Cond4;CategoryMed15;MarqueMed17
468;Medicament468;Cond12;CategoryMed39;MarqueMed12
469;Medicament469;Cond5;CategoryMed45;MarqueMed23
470;Medicament470;Cond5;CategoryMed18;MarqueMed21
471;Medicament471;Cond3;CategoryMed31;MarqueMed15
472;Medicament472;Cond1;CategoryMed33;MarqueMed8
473;Medicament473;Cond13;CategoryMed35;MarqueMed12
474;Medicament474;Cond5;CategoryMed22;MarqueMed9
475;Medicament475;Cond13;CategoryMed34;MarqueMed11
476;Medicament476;Cond1;CategoryMed7;MarqueMed23
477;Medicament477;Cond5;CategoryMed22;MarqueMed14
