NO_CHAMBRE;NOM_CHAMBRE;NO_ETAGE;NOM_BATIMENT;TYPE_CHAMBRE;PRIX_JOUR;DT_CREATION
48;A139;1;A;Type 1;10;1999-03-01
49;A140;1;A;Type 1;20;1999-03-01
50;A141;1;A;Type 2;10;1999-03-01
51;A142;1;A;Type 2;10;1999-03-01
52;A143;1;A;Type 4;25;1999-03-01
53;A144;1;A;Type 1;10;1999-03-01
54;A145;1;A;Type 1;10;1999-03-01
55;A146;1;A;Type 1;15;1999-03-01
56;A147;1;A;Type 2;10;1999-03-01
57;A148;1;A;Type 3;25;1999-03-01
58;A149;1;A;Type 2;15;1999-03-01
59;A150;1;A;Type 5;10;1999-03-01
60;A201;2;A;Type 1;10;1999-03-01
61;A202;2;A;Type 1;15;1999-03-01
62;A203;2;A;Type 1;20;1999-03-01
63;A204;2;A;Type 1;20;1999-03-01
64;A205;2;A;Type 1;10;1999-03-01
65;A206;2;A;Type 2;10;1999-03-01
66;A207;2;A;Type 2;20;1999-03-01
67;A208;2;A;Type 2;10;1999-03-01
68;A209;2;A;Type 2;10;1999-03-01
69;A210;2;A;Type 2;15;1999-03-01
70;A211;2;A;Type 2;10;1999-03-01
71;A212;2;A;Type 3;25;1999-03-01
72;A213;2;A;Type 1;10;1999-03-01
73;A214;2;A;Type 1;15;1999-03-01
74;A215;2;A;Type 1;15;1999-03-01
75;A216;2;A;Type 2;10;1999-03-01
76;A217;2;A;Type 1;15;1999-03-01
77;A218;2;A;Type 2;15;1999-03-01
78;A219;2;A;Type 1;10;1999-03-01
79;A220;2;A;Type 1;25;1999-03-01
80;A221;2;A;Type 1;20;1999-03-01
81;A222;2;A;Type 1;20;1999-03-01
82;A223;2;A;Type 2;10;1999-03-01
83;A224;2;A;Type 1;10;1999-03-01
84;A225;2;A;Type 2;10;1999-03-01
85;A226;2;A;Type 3;10;1999-03-01
86;A227;2;A;Type 1;20;1999-03-01
87;A228;2;A;Type 2;20;1999-03-01
88;A229;2;A;Type 1;20;1999-03-01
89;A230;2;A;Type 3;10;1999-03-01
90;A231;2;A;Type 1;10;1999-03-01
91;A232;2;A;Type 1;15;1999-03-01
92;A233;2;A;Type 1;10;1999-03-01
93;A234;2;A;Type 2;10;1999-03-01
94;A235;2;A;Type 2;15;1999-03-01
95;A236;2;A;Type 1;15;1999-03-01
96;A237;2;A;Type 1;15;1999-03-01
97;A238;2;A;Type 2;20;1999-03-01
98;A239;2;A;Type 3;20;1999-03-01
99;A240;2;A;Type 1;20;1999-03-01
100;B001;0;B;Type 1;15;2004-07-01
101;B002;0;B;Type 1;15;2004-07-01
102;B003;0;B;Type 3;20;2004-07-01
103;B004;0;B;Type 4;10;2004-07-01
104;B005;0;B;Type 2;20;2004-07-01
105;B006;0;B;Type 2;35;2004-07-01
106;B007;0;B;Type 2;25;2004-07-01
107;B008;0;B;Type 3;30;2004-07-01
108;B009;0;B;Type 1;20;2004-07-01
109;B010;0;B;Type 1;15;2004-07-01
110;B011;0;B;Type 4;10;2004-07-01
111;B012;0;B;Type 1;20;2004-07-01
112;B013;0;B;Type 3;10;2004-07-01
113;B014;0;B;Type 2;30;2004-07-01
114;B015;0;B;Type 1;20;2004-07-01
115;B016;0;B;Type 2;20;2004-07-01
116;B017;0;B;Type 1;20;2004-07-01
117;B018;0;B;Type 1;20;2004-07-01
118;B019;0;B;Type 2;15;2004-07-01
119;B020;0;B;Type 1;30;2004-07-01
120;B101;1;B;Type 3;20;2004-07-01
121;B102;1;B;Type 3;25;2004-07-01
122;B103;1;B;Type 3;10;2004-07-01
123;B104;1;B;Type 1;25;2004-07-01
124;B105;1;B;Type 3;25;2004-07-01
125;B106;1;B;Type 1;10;2004-07-01
126;B107;1;B;Type 2;20;2004-07-01
127;B108;1;B;Type 2;20;2004-07-01
128;B109;1;B;Type 4;20;2004-07-01
129;B110;1;B;Type 3;30;2004-07-01
130;B111;1;B;Type 2;30;2004-07-01
131;B112;1;B;Type 1;25;2004-07-01
132;B113;1;B;Type 5;10;2004-07-01
133;B114;1;B;Type 1;25;2004-07-01
134;B115;1;B;Type 1;15;2004-07-01
135;B116;1;B;Type 1;20;2004-07-01
136;B117;1;B;Type 2;20;2004-07-01
137;B118;1;B;Type 1;25;2004-07-01
138;B119;1;B;Type 1;30;2004-07-01
139;B120;1;B;Type 3;15;2004-07-01
140;B121;1;B;Type 2;20;2004-07-01
141;B122;1;B;Type 4;20;2004-07-01
142;B123;1;B;Type 2;20;2004-07-01
143;B124;1;B;Type 2;25;2004-07-01
144;B125;1;B;Type 2;20;2004-07-01
145;B126;1;B;Type 1;15;2004-07-01
146;B127;1;B;Type 1;30;2004-07-01
147;B128;1;B;Type 2;15;2004-07-01
148;B129;1;B;Type 1;25;2004-07-01
149;B130;1;B;Type 3;15;2004-07-01
150;B131;1;B;Type 1;25;2004-07-01
151;B132;1;B;Type 1;25;2004-07-01
152;B133;1;B;Type 2;30;2004-07-01
153;B134;1;B;Type 3;15;2004-07-01
154;B135;1;B;Type 1;15;2004-07-01
155;B136;1;B;Type 2;25;2004-07-01
156;B137;1;B;Type 1;10;2004-07-01
157;B138;1;B;Type 2;35;2004-07-01
158;B139;1;B;Type 2;35;2004-07-01
159;B140;1;B;Type 2;20;2004-07-01
160;B141;1;B;Type 1;25;2004-07-01
161;B142;1;B;Type 1;25;2004-07-01
162;B143;1;B;Type 2;20;2004-07-01
163;B144;1;B;Type 2;20;2004-07-01
164;B145;1;B;Type 2;15;2004-07-01
165;B146;1;B;Type 2;25;2004-07-01
166;B147;1;B;Type 1;20;2004-07-01
167;B148;1;B;Type 1;20;2004-07-01
168;B149;1;B;Type 1;35;2004-07-01
169;B150;1;B;Type 2;20;2004-07-01
170;B151;1;B;Type 2;30;2004-07-01
171;B152;1;B;Type 1;15;2004-07-01
172;B153;1;B;Type 2;25;2004-07-01
173;B154;1;B;Type 2;15;2004-07-01
174;B155;1;B;Type 4;20;2004-07-01
175;B156;1;B;Type 1;30;2004-07-01
176;B157;1;B;Type 1;15;2004-07-01
177;B158;1;B;Type 4;15;2004-07-01
178;B159;1;B;Type 3;25;2004-07-01
179;B160;1;B;Type 1;25;2004-07-01
180;B161;1;B;Type 4;20;2004-07-01
181;B162;1;B;Type 3;20;2004-07-01
182;B163;1;B;Type 1;15;2004-07-01
183;B164;1;B;Type 2;15;2004-07-01
184;B165;1;B;Type 2;20;2004-07-01
185;B166;1;B;Type 1;15;2004-07-01
186;B167;1;B;Type 3;20;2004-07-01
187;B168;1;B;Type 3;30;2004-07-01
188;B169;1;B;Type 2;25;2004-07-01
189;B170;1;B;Type 3;20;2004-07-01
190;B171;1;B;Type 2;50;2004-07-01
191;B172;1;B;Type 2;10;2004-07-01
192;B173;1;B;Type 1;15;2004-07-01
193;B174;1;B;Type 2;30;2004-07-01
194;B175;1;B;Type 2;15;2004-07-01
195;B176;1;B;Type 1;20;2004-07-01
196;B177;1;B;Type 2;15;2004-07-01
197;B178;1;B;Type 3;25;2004-07-01
198;B179;1;B;Type 2;15;2004-07-01
199;B180;1;B;Type 2;35;2004-07-01
200;B201;2;B;Type 1;15;2004-07-01
201;B202;2;B;Type 1;25;2004-07-01
202;B203;2;B;Type 1;30;2004-07-01
203;B204;2;B;Type 2;15;2004-07-01
204;B205;2;B;Type 1;20;2004-07-01
205;B206;2;B;Type 1;10;2004-07-01
206;B207;2;B;Type 2;20;2004-07-01
207;B208;2;B;Type 1;20;2004-07-01
208;B209;2;B;Type 4;20;2004-07-01
209;B210;2;B;Type 1;25;2004-07-01
210;B211;2;B;Type 2;20;2004-07-01
211;B212;2;B;Type 2;20;2004-07-01
212;B213;2;B;Type 1;10;2004-07-01
213;B214;2;B;Type 5;15;2004-07-01
214;B215;2;B;Type 2;20;2004-07-01
215;B216;2;B;Type 1;10;2004-07-01
216;B217;2;B;Type 2;25;2004-07-01
217;B218;2;B;Type 2;15;2004-07-01
218;B219;2;B;Type 2;20;2004-07-01
219;B220;2;B;Type 2;20;2004-07-01
220;B221;2;B;Type 1;10;2004-07-01
221;B222;2;B;Type 3;20;2004-07-01
222;B223;2;B;Type 1;20;2004-07-01
223;B224;2;B;Type 1;15;2004-07-01
224;B225;2;B;Type 3;25;2004-07-01
225;B226;2;B;Type 1;30;2004-07-01
226;B227;2;B;Type 1;10;2004-07-01
227;B228;2;B;Type 1;20;2004-07-01
228;B229;2;B;Type 3;15;2004-07-01
229;B230;2;B;Type 1;30;2004-07-01
230;B231;2;B;Type 1;25;2004-07-01
231;B232;2;B;Type 2;15;2004-07-01
232;B233;2;B;Type 3;15;2004-07-01
233;B234;2;B;Type 2;25;2004-07-01
234;B235;2;B;Type 1;15;2004-07-01
235;B236;2;B;Type 1;25;2004-07-01
236;B237;2;B;Type 2;10;2004-07-01
237;B238;2;B;Type 5;35;2004-07-01
238;B239;2;B;Type 3;10;2004-07-01
239;B240;2;B;Type 1;20;2004-07-01
240;B241;2;B;Type 1;15;2004-07-01
241;B242;2;B;Type 2;25;2004-07-01
242;B243;2;B;Type 2;20;2004-07-01
243;B244;2;B;Type 3;25;2004-07-01
244;B245;2;B;Type 4;35;2004-07-01
245;B246;2;B;Type 4;20;2004-07-01
246;B247;2;B;Type 4;20;2004-07-01
247;B248;2;B;Type 3;15;2004-07-01
248;B249;2;B;Type 5;20;2004-07-01
249;B250;2;B;Type 1;20;2004-07-01
250;B251;2;B;Type 1;15;2004-07-01
251;B252;2;B;Type 1;20;2004-07-01
252;B253;2;B;Type 2;15;2004-07-01
253;B254;2;B;Type 3;15;2004-07-01
254;B255;2;B;Type 2;15;2004-07-01
255;B256;2;B;Type 2;30;2004-07-01
256;B257;2;B;Type 3;20;2004-07-01
257;B258;2;B;Type 2;15;2004-07-01
258;B259;2;B;Type 2;25;2004-07-01
259;B260;2;B;Type 1;15;2004-07-01
260;B261;2;B;Type 1;15;2004-07-01
261;B262;2;B;Type 2;15;2004-07-01
262;B263;2;B;Type 1;15;2004-07-01
263;B264;2;B;Type 1;25;2004-07-01
264;B265;2;B;Type 1;30;2004-07-01
265;B266;2;B;Type 1;10;2004-07-01
266;B267;2;B;Type 1;15;2004-07-01
267;B268;2;B;Type 2;15;2004-07-01
268;B269;2;B;Type 1;20;2004-07-01
269;B270;2;B;Type 1;25;2004-07-01
270;B271;2;B;Type 1;25;2004-07-01
271;B272;2;B;Type 2;25;2004-07-01
272;B273;2;B;Type 1;25;2004-07-01
273;B274;2;B;Type 1;20;2004-07-01
274;B275;2;B;Type 3;25;2004-07-01
275;B276;2;B;Type 3;15;2004-07-01
276;B277;2;B;Type 1;20;2004-07-01
277;B278;2;B;Type 3;25;2004-07-01
278;B279;2;B;Type 1;20;2004-07-01
279;B280;2;B;Type 2;35;2004-07-01
280;B281;2;B;Type 2;20;2004-07-01
281;B282;2;B;Type 4;30;2004-07-01
282;B283;2;B;Type 2;20;2004-07-01
283;B284;2;B;Type 1;30;2004-07-01
284;B285;2;B;Type 1;10;2004-07-01
285;B286;2;B;Type 3;15;2004-07-01
286;B287;2;B;Type 2;25;2004-07-01
287;B288;2;B;Type 3;10;2004-07-01
288;B289;2;B;Type 3;15;2004-07-01
289;B290;2;B;Type 2;30;2004-07-01
290;B291;2;B;Type 1;15;2004-07-01
291;B292;2;B;Type 2;20;2004-07-01
292;B293;2;B;Type 2;20;2004-07-01
293;B294;2;B;Type 2;15;2004-07-01
294;B295;2;B;Type 2;15;2004-07-01
295;B296;2;B;Type 3;30;2004-07-01
296;B297;2;B;Type 2;15;2004-07-01
297;B298;2;B;Type 3;20;2004-07-01
298;B299;2;B;Type 3;15;2004-07-01
299;B301;3;B;Type 2;10;2004-07-01
300;B302;3;B;Type 2;20;2004-07-01
301;B303;3;B;Type 1;10;2004-07-01
302;B304;3;B;Type 1;20;2004-07-01
303;B305;3;B;Type 1;20;2004-07-01
304;B306;3;B;Type 1;20;2004-07-01
305;B307;3;B;Type 3;15;2004-07-01
306;B308;3;B;Type 1;20;2004-07-01
307;B309;3;B;Type 1;15;2004-07-01
308;B310;3;B;Type 4;20;2004-07-01
309;B311;3;B;Type 2;20;2004-07-01
310;B312;3;B;Type 3;35;2004-07-01
311;B313;3;B;Type 4;25;2004-07-01
312;B314;3;B;Type 1;15;2004-07-01
313;B315;3;B;Type 1;30;2004-07-01
314;B316;3;B;Type 1;15;2004-07-01
315;B317;3;B;Type 3;20;2004-07-01
316;B318;3;B;Type 2;40;2004-07-01
317;B319;3;B;Type 5;10;2004-07-01
318;B320;3;B;Type 3;15;2004-07-01
319;B321;3;B;Type 1;25;2004-07-01
320;B322;3;B;Type 4;15;2004-07-01
321;B323;3;B;Type 1;35;2004-07-01
322;B324;3;B;Type 1;30;2004-07-01
323;B325;3;B;Type 2;10;2004-07-01
324;B326;3;B;Type 5;15;2004-07-01
325;B327;3;B;Type 2;10;2004-07-01
326;B328;3;B;Type 1;20;2004-07-01
327;B329;3;B;Type 2;15;2004-07-01
328;B330;3;B;Type 1;25;2004-07-01
329;B331;3;B;Type 3;10;2004-07-01
330;B332;3;B;Type 2;20;2004-07-01
331;B333;3;B;Type 4;15;2004-07-01
332;B334;3;B;Type 2;25;2004-07-01
333;B335;3;B;Type 3;20;2004-07-01
334;B336;3;B;Type 3;10;2004-07-01
335;B337;3;B;Type 1;10;2004-07-01
336;B338;3;B;Type 2;25;2004-07-01
337;B339;3;B;Type 1;20;2004-07-01
338;B340;3;B;Type 1;25;2004-07-01
339;B341;3;B;Type 1;30;2004-07-01
340;B342;3;B;Type 2;10;2004-07-01
341;B343;3;B;Type 1;30;2004-07-01
342;B344;3;B;Type 1;15;2004-07-01
343;B345;3;B;Type 1;10;2004-07-01
344;B346;3;B;Type 2;20;2004-07-01
345;B347;3;B;Type 1;15;2004-07-01
346;B348;3;B;Type 2;15;2004-07-01
347;B349;3;B;Type 3;10;2004-07-01
348;B350;3;B;Type 2;20;2004-07-01
349;B351;3;B;Type 1;30;2004-07-01
350;B352;3;B;Type 2;25;2004-07-01
351;B353;3;B;Type 2;10;2004-07-01
352;B354;3;B;Type 2;20;2004-07-01
353;B355;3;B;Type 3;25;2004-07-01
354;B356;3;B;Type 1;25;2004-07-01
355;B357;3;B;Type 1;20;2004-07-01
356;B358;3;B;Type 2;25;2004-07-01
357;B359;3;B;Type 3;15;2004-07-01
358;B360;3;B;Type 3;25;2004-07-01
359;B361;3;B;Type 1;20;2004-07-01
360;B362;3;B;Type 2;15;2004-07-01
361;B363;3;B;Type 1;35;2004-07-01
362;B364;3;B;Type 3;30;2004-07-01
363;B365;3;B;Type 1;35;2004-07-01
364;B366;3;B;Type 3;10;2004-07-01
365;B367;3;B;Type 1;20;2004-07-01
366;B368;3;B;Type 1;20;2004-07-01
367;B369;3;B;Type 2;15;2004-07-01
368;B370;3;B;Type 5;10;2004-07-01
369;B371;3;B;Type 2;10;2004-07-01
370;B372;3;B;Type 2;30;2004-07-01
371;B373;3;B;Type 1;10;2004-07-01
372;B374;3;B;Type 1;15;2004-07-01
373;B375;3;B;Type 1;20;2004-07-01
374;B376;3;B;Type 1;15;2004-07-01
375;B377;3;B;Type 1;30;2004-07-01
376;B378;3;B;Type 1;10;2004-07-01
377;B379;3;B;Type 4;15;2004-07-01
378;B380;3;B;Type 2;25;2004-07-01
379;B381;3;B;Type 2;10;2004-07-01
380;B382;3;B;Type 1;20;2004-07-01
381;B383;3;B;Type 3;15;2004-07-01
382;B384;3;B;Type 2;25;2004-07-01
383;B385;3;B;Type 4;15;2004-07-01
384;B386;3;B;Type 1;20;2004-07-01
385;B387;3;B;Type 1;20;2004-07-01
386;B388;3;B;Type 2;25;2004-07-01
387;B389;3;B;Type 2;35;2004-07-01
388;B390;3;B;Type 1;10;2004-07-01
389;B391;3;B;Type 2;25;2004-07-01
390;B392;3;B;Type 2;15;2004-07-01
391;B393;3;B;Type 1;15;2004-07-01
392;B394;3;B;Type 2;30;2004-07-01
393;B395;3;B;Type 2;20;2004-07-01
394;B396;3;B;Type 1;35;2004-07-01
395;B397;3;B;Type 3;35;2004-07-01
396;B398;3;B;Type 3;20;2004-07-01
397;C001;0;C;Type 1;20;2014-02-07
398;C002;0;C;Type 2;20;2014-02-07
399;C003;0;C;Type 3;30;2014-02-07
400;C004;0;C;Type 1;20;2014-02-07
401;C005;0;C;Type 2;25;2014-02-07
402;C006;0;C;Type 1;20;2014-02-07
403;C007;0;C;Type 1;10;2014-02-07
404;C008;0;C;Type 1;10;2014-02-07
405;C009;0;C;Type 1;25;2014-02-07
406;C010;0;C;Type 4;25;2014-02-07
407;C011;0;C;Type 2;15;2014-02-07
408;C012;0;C;Type 2;25;2014-02-07
409;C013;0;C;Type 4;10;2014-02-07
410;C014;0;C;Type 3;30;2014-02-07
411;C015;0;C;Type 1;20;2014-02-07
412;C016;0;C;Type 1;10;2014-02-07
413;C017;0;C;Type 3;20;2014-02-07
414;C018;0;C;Type 1;30;2014-02-07
415;C019;0;C;Type 2;10;2014-02-07
416;C020;0;C;Type 1;20;2014-02-07
417;C101;1;C;Type 2;30;2014-02-07
418;C102;1;C;Type 1;15;2014-02-07
419;C103;1;C;Type 1;20;2014-02-07
420;C104;1;C;Type 2;20;2014-02-07
421;C105;1;C;Type 2;10;2014-02-07
422;C106;1;C;Type 2;15;2014-02-07
423;C107;1;C;Type 2;35;2014-02-07
424;C108;1;C;Type 4;15;2014-02-07
425;C109;1;C;Type 2;15;2014-02-07
426;C110;1;C;Type 1;10;2014-02-07
427;C111;1;C;Type 2;20;2014-02-07
428;C112;1;C;Type 2;20;2014-02-07
429;C113;1;C;Type 1;10;2014-02-07
430;C114;1;C;Type 3;20;2014-02-07
431;C115;1;C;Type 1;10;2014-02-07
432;C116;1;C;Type 1;25;2014-02-07
433;C117;1;C;Type 2;15;2014-02-07
434;C118;1;C;Type 2;25;2014-02-07
435;C119;1;C;Type 1;10;2014-02-07
436;C120;1;C;Type 1;15;2014-02-07
437;C121;1;C;Type 2;20;2014-02-07
438;C122;1;C;Type 3;20;2014-02-07
439;C123;1;C;Type 2;25;2014-02-07
440;C124;1;C;Type 2;15;2014-02-07
441;C125;1;C;Type 1;25;2014-02-07
442;C126;1;C;Type 3;10;2014-02-07
443;C127;1;C;Type 2;15;2014-02-07
444;C128;1;C;Type 2;15;2014-02-07
445;C129;1;C;Type 4;20;2014-02-07
446;C130;1;C;Type 2;25;2014-02-07
447;C131;1;C;Type 1;15;2014-02-07
448;C132;1;C;Type 2;20;2014-02-07
449;C133;1;C;Type 3;15;2014-02-07
450;C134;1;C;Type 1;15;2014-02-07
451;C135;1;C;Type 1;15;2014-02-07
452;C136;1;C;Type 1;20;2014-02-07
453;C137;1;C;Type 1;20;2014-02-07
454;C138;1;C;Type 1;25;2014-02-07
455;C139;1;C;Type 2;25;2014-02-07
456;C140;1;C;Type 3;20;2014-02-07
457;C141;1;C;Type 2;30;2014-02-07
458;C142;1;C;Type 1;20;2014-02-07
459;C143;1;C;Type 2;25;2014-02-07
460;C144;1;C;Type 1;20;2014-02-07
461;C145;1;C;Type 1;25;2014-02-07
462;C146;1;C;Type 1;15;2014-02-07
463;C147;1;C;Type 1;30;2014-02-07
464;C148;1;C;Type 3;20;2014-02-07
465;C149;1;C;Type 3;25;2014-02-07
466;C150;1;C;Type 2;25;2014-02-07
467;C151;1;C;Type 3;20;2014-02-07
468;C152;1;C;Type 1;15;2014-02-07
469;C153;1;C;Type 2;20;2014-02-07
470;C154;1;C;Type 1;30;2014-02-07
471;C155;1;C;Type 1;20;2014-02-07
472;C156;1;C;Type 5;30;2014-02-07
473;C157;1;C;Type 3;35;2014-02-07
474;C158;1;C;Type 2;15;2014-02-07
475;C159;1;C;Type 2;15;2014-02-07
476;C160;1;C;Type 3;20;2014-02-07
477;C161;1;C;Type 3;20;2014-02-07
478;C162;1;C;Type 2;30;2014-02-07
479;C163;1;C;Type 1;20;2014-02-07
480;C164;1;C;Type 2;25;2014-02-07
481;C165;1;C;Type 1;30;2014-02-07
482;C166;1;C;Type 2;25;2014-02-07
483;C167;1;C;Type 3;10;2014-02-07
484;C168;1;C;Type 2;15;2014-02-07
485;C169;1;C;Type 2;15;2014-02-07
486;C170;1;C;Type 3;25;2014-02-07
487;C171;1;C;Type 3;15;2014-02-07
488;C172;1;C;Type 1;15;2014-02-07
489;C173;1;C;Type 1;20;2014-02-07
490;C174;1;C;Type 3;30;2014-02-07
491;C175;1;C;Type 3;20;2014-02-07
492;C176;1;C;Type 1;20;2014-02-07
493;C177;1;C;Type 4;25;2014-02-07
494;C178;1;C;Type 1;20;2014-02-07
495;C179;1;C;Type 1;10;2014-02-07
496;C180;1;C;Type 2;30;2014-02-07
497;C201;2;C;Type 2;15;2014-02-07
498;C202;2;C;Type 1;10;2014-02-07
499;C203;2;C;Type 2;20;2014-02-07
500;C204;2;C;Type 2;20;2014-02-07
501;C205;2;C;Type 1;30;2014-02-07
502;C206;2;C;Type 1;25;2014-02-07
503;C207;2;C;Type 1;25;2014-02-07
504;C208;2;C;Type 2;40;2014-02-07
505;C209;2;C;Type 4;10;2014-02-07
506;C210;2;C;Type 2;20;2014-02-07
507;C211;2;C;Type 1;15;2014-02-07
508;C212;2;C;Type 3;20;2014-02-07
509;C213;2;C;Type 3;15;2014-02-07
510;C214;2;C;Type 3;20;2014-02-07
511;C215;2;C;Type 1;20;2014-02-07
512;C216;2;C;Type 3;20;2014-02-07
513;C217;2;C;Type 1;20;2014-02-07
514;C218;2;C;Type 3;15;2014-02-07
515;C219;2;C;Type 3;20;2014-02-07
516;C220;2;C;Type 1;15;2014-02-07
517;C221;2;C;Type 1;30;2014-02-07
518;C222;2;C;Type 2;15;2014-02-07
519;C223;2;C;Type 1;15;2014-02-07
520;C224;2;C;Type 1;20;2014-02-07
521;C225;2;C;Type 3;30;2014-02-07
522;C226;2;C;Type 2;20;2014-02-07
523;C227;2;C;Type 2;15;2014-02-07
524;C228;2;C;Type 1;20;2014-02-07
525;C229;2;C;Type 1;20;2014-02-07
526;C230;2;C;Type 3;20;2014-02-07
527;C231;2;C;Type 1;10;2014-02-07
528;C232;2;C;Type 4;35;2014-02-07
529;C233;2;C;Type 4;35;2014-02-07
530;C234;2;C;Type 2;15;2014-02-07
531;C235;2;C;Type 2;10;2014-02-07
532;C236;2;C;Type 2;20;2014-02-07
533;C237;2;C;Type 2;20;2014-02-07
534;C238;2;C;Type 3;20;2014-02-07
535;C239;2;C;Type 2;25;2014-02-07
536;C240;2;C;Type 2;15;2014-02-07
537;C241;2;C;Type 1;15;2014-02-07
538;C242;2;C;Type 2;25;2014-02-07
539;C243;2;C;Type 1;30;2014-02-07
540;C244;2;C;Type 3;15;2014-02-07
541;C245;2;C;Type 1;20;2014-02-07
542;C246;2;C;Type 2;15;2014-02-07
543;C247;2;C;Type 1;20;2014-02-07
544;C248;2;C;Type 2;25;2014-02-07
545;C249;2;C;Type 1;30;2014-02-07
546;C250;2;C;Type 2;15;2014-02-07
547;C251;2;C;Type 1;15;2014-02-07
548;C252;2;C;Type 2;25;2014-02-07
549;C253;2;C;Type 3;40;2014-02-07
550;C254;2;C;Type 1;20;2014-02-07
551;C255;2;C;Type 2;20;2014-02-07
552;C256;2;C;Type 3;20;2014-02-07
553;C257;2;C;Type 2;20;2014-02-07
554;C258;2;C;Type 2;20;2014-02-07
555;C259;2;C;Type 3;10;2014-02-07
556;C260;2;C;Type 1;30;2014-02-07
557;C261;2;C;Type 2;25;2014-02-07
558;C262;2;C;Type 2;30;2014-02-07
559;C263;2;C;Type 1;25;2014-02-07
560;C264;2;C;Type 2;25;2014-02-07
561;C265;2;C;Type 1;15;2014-02-07
562;C266;2;C;Type 2;10;2014-02-07
563;C267;2;C;Type 1;15;2014-02-07
564;C268;2;C;Type 2;15;2014-02-07
565;C269;2;C;Type 4;25;2014-02-07
566;C270;2;C;Type 1;25;2014-02-07
567;C271;2;C;Type 2;20;2014-02-07
568;C272;2;C;Type 4;30;2014-02-07
569;C273;2;C;Type 1;15;2014-02-07
570;C274;2;C;Type 4;20;2014-02-07
571;C275;2;C;Type 2;15;2014-02-07
572;C276;2;C;Type 2;35;2014-02-07
573;C277;2;C;Type 3;20;2014-02-07
574;C278;2;C;Type 1;20;2014-02-07
575;C279;2;C;Type 2;25;2014-02-07
576;C280;2;C;Type 1;40;2014-02-07
577;C281;2;C;Type 2;15;2014-02-07
578;C282;2;C;Type 2;15;2014-02-07
579;C283;2;C;Type 2;15;2014-02-07
580;C284;2;C;Type 1;15;2014-02-07
581;C285;2;C;Type 3;20;2014-02-07
582;C286;2;C;Type 2;15;2014-02-07
583;C287;2;C;Type 1;25;2014-02-07
584;C288;2;C;Type 1;10;2014-02-07
585;C289;2;C;Type 2;10;2014-02-07
586;C290;2;C;Type 1;25;2014-02-07
587;C291;2;C;Type 1;20;2014-02-07
588;C292;2;C;Type 2;30;2014-02-07
589;C293;2;C;Type 3;20;2014-02-07
590;C294;2;C;Type 5;15;2014-02-07
591;C295;2;C;Type 2;15;2014-02-07
592;C296;2;C;Type 2;10;2014-02-07
593;C297;2;C;Type 1;20;2014-02-07
594;C298;2;C;Type 4;25;2014-02-07
595;C299;2;C;Type 5;30;2014-02-07
596;C301;3;C;Type 1;15;2014-02-07
597;C302;3;C;Type 1;20;2014-02-07
598;C303;3;C;Type 2;25;2014-02-07
599;C304;3;C;Type 2;15;2014-02-07
600;C305;3;C;Type 3;10;2014-02-07
601;C306;3;C;Type 2;10;2014-02-07
